::1 | 17/Dec/2024:21:44:32 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 6.320ms
::1 | 17/Dec/2024:21:44:32 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.089ms
::1 | 17/Dec/2024:21:44:32 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.827ms
::1 | 17/Dec/2024:21:44:32 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.844ms
::1 | 17/Dec/2024:21:44:32 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 0.745ms
::1 | 17/Dec/2024:21:44:32 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.035ms
::1 | 17/Dec/2024:21:45:32 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 6.274ms
::1 | 17/Dec/2024:21:45:32 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.178ms
::ffff:127.0.0.1 | 17/Dec/2024:21:45:32 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.887ms
::1 | 17/Dec/2024:21:45:32 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 0.837ms
::1 | 17/Dec/2024:21:45:32 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 4.009ms
::1 | 17/Dec/2024:21:45:32 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.077ms
::1 | 17/Dec/2024:21:50:57 +0000 | GET | /books | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 18.801ms
::1 | 17/Dec/2024:21:51:15 +0000 | POST | /books | Auth Provided: No | Request Type: JSON | Files Provided: No | 201 | 272.114ms
::1 | 17/Dec/2024:21:51:24 +0000 | GET | /borrowers | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 24.872ms
::1 | 17/Dec/2024:21:51:25 +0000 | GET | /borrowers | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.980ms
::1 | 17/Dec/2024:21:51:29 +0000 | GET | /bookLoans | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 8.872ms
::1 | 17/Dec/2024:21:52:08 +0000 | GET | /bookLoans | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 29.139ms
